Date,Open,High,Low,Close,Volume,Adj Close
2015-07-01,20291.050781,20346.740234,20225.269531,20329.320312,119900,20329.320312
2015-07-02,20565.939453,20601.730469,20479.849609,20522.5,0,20522.5
2015-07-03,20476.689453,20557.509766,20431.25,20539.789062,141400,20539.789062
2015-07-06,20200.150391,20310.720703,20012.230469,20112.119141,158800,20112.119141
2015-07-07,20354.230469,20428.0,20337.179688,20376.589844,0,20376.589844
2015-07-08,20282.490234,20310.890625,19737.640625,19737.640625,0,19737.640625
2015-07-09,19422.779297,19855.5,19115.199219,19855.5,0,19855.5
2015-07-10,19829.929688,19978.240234,19720.150391,19779.830078,0,19779.830078
2015-07-13,19929.919922,20120.150391,19911.390625,20089.769531,0,20089.769531
2015-07-14,20355.330078,20435.529297,20322.199219,20385.330078,156900,20385.330078
2015-07-15,20478.849609,20496.599609,20401.089844,20463.330078,0,20463.330078
2015-07-16,20588.980469,20612.5,20522.25,20600.119141,132700,20600.119141
2015-07-17,20646.630859,20658.949219,20611.220703,20650.919922,114600,20650.919922
2015-07-21,20763.310547,20850.0,20710.339844,20841.970703,130500,20841.970703
2015-07-22,20657.800781,20677.839844,20576.189453,20593.669922,141000,20593.669922
2015-07-23,20693.570312,20708.230469,20648.759766,20683.949219,115500,20683.949219
2015-07-24,20603.630859,20631.539062,20527.779297,20544.529297,107400,20544.529297
2015-07-27,20374.050781,20486.929688,20278.730469,20350.099609,118900,20350.099609
2015-07-28,20188.570312,20423.580078,20070.619141,20328.890625,145300,20328.890625
2015-07-29,20425.689453,20425.689453,20205.210938,20302.910156,0,20302.910156
2015-07-30,20450.609375,20583.570312,20443.890625,20522.830078,176000,20522.830078
2015-07-31,20506.550781,20585.240234,20466.800781,20585.240234,170100,20585.240234
2015-08-03,20540.210938,20562.199219,20396.5,20548.109375,168400,20548.109375
2015-08-04,20462.179688,20552.039062,20448.490234,20520.359375,161700,20520.359375
2015-08-05,20490.150391,20715.480469,20469.869141,20614.060547,168300,20614.060547
2015-08-06,20768.769531,20817.480469,20664.439453,20664.439453,162000,20664.439453
2015-08-07,20601.570312,20754.0,20567.509766,20724.560547,142600,20724.560547
2015-08-10,20618.310547,20820.859375,20617.050781,20808.689453,0,20808.689453
2015-08-11,20920.599609,20946.929688,20582.009766,20720.75,0,20720.75
2015-08-12,20632.679688,20703.199219,20303.019531,20392.769531,165200,20392.769531
2015-08-13,20392.539062,20633.910156,20306.980469,20595.550781,162400,20595.550781
2015-08-14,20518.359375,20605.460938,20484.669922,20519.449219,135200,20519.449219
2015-08-17,20600.160156,20668.869141,20541.0,20620.259766,103400,20620.259766
2015-08-18,20640.589844,20663.179688,20545.25,20554.470703,190700,20554.470703
2015-08-19,20467.490234,20521.970703,20218.029297,20222.630859,141100,20222.630859
2015-08-20,20194.259766,20246.470703,20033.289062,20033.519531,143500,20033.519531
2015-08-21,19711.339844,19737.539062,19435.830078,19435.830078,184200,19435.830078
2015-08-24,19075.050781,19154.650391,18498.800781,18540.679688,266200,18540.679688
2015-08-25,18171.660156,18835.349609,17747.5,17806.699219,325500,17806.699219
2015-08-26,17894.289062,18442.839844,17714.300781,18376.830078,239400,18376.830078
2015-08-27,18680.470703,18810.050781,18486.460938,18574.439453,186300,18574.439453
2015-08-28,18908.730469,19192.820312,18901.089844,19136.320312,199000,19136.320312
2015-08-31,19006.980469,19019.609375,18749.769531,18890.480469,0,18890.480469
2015-09-01,18763.720703,18777.470703,18165.689453,18165.689453,171500,18165.689453
2015-09-02,17861.810547,18467.439453,17875.730469,18095.400391,192000,18095.400391
2015-09-03,18359.349609,18481.570312,18176.75,18182.390625,138700,18182.390625
2015-09-04,18312.130859,18312.130859,17608.169922,17792.160156,166000,17792.160156
2015-09-07,17674.820312,18013.640625,17478.720703,17860.470703,159700,17860.470703
2015-09-08,17941.910156,17962.560547,17415.609375,17427.080078,150300,17427.080078
2015-09-09,17758.130859,18770.509766,17756.759766,18770.509766,195600,18770.509766
2015-09-10,18418.640625,18420.560547,17956.150391,18299.619141,167500,18299.619141
2015-09-11,18155.710938,18362.990234,18124.349609,18264.220703,195500,18264.220703
2015-09-14,18341.009766,18344.070312,17925.089844,17965.699219,0,17965.699219
2015-09-15,18082.720703,18329.570312,17995.980469,18026.480469,142000,18026.480469
2015-09-16,18238.150391,18291.970703,18094.990234,18171.599609,122200,18171.599609
2015-09-17,18361.990234,18468.199219,18289.630859,18432.269531,127000,18432.269531
2015-09-18,18275.480469,18295.900391,18069.5,18070.210938,166800,18070.210938
2015-09-24,17571.830078,17571.830078,17571.830078,17571.830078,0,17571.830078
2015-09-25,17618.300781,17880.509766,17483.689453,17880.509766,179300,17880.509766
2015-09-28,17811.119141,17886.490234,17562.599609,17645.109375,126900,17645.109375
2015-09-29,17359.380859,17366.949219,16901.490234,16930.839844,0,16930.839844
