Date,Open,High,Low,Close,Volume,Adj Close
2015-06-01,20444.539062,20595.410156,20410.269531,20569.869141,168200,20569.869141
2015-06-02,20604.669922,20619.609375,20470.259766,20543.189453,194400,20543.189453
2015-06-03,20443.150391,20506.349609,20397.730469,20473.509766,163600,20473.509766
2015-06-04,20539.939453,20552.460938,20438.210938,20488.189453,171700,20488.189453
2015-06-05,20398.759766,20480.25,20363.179688,20460.900391,160800,20460.900391
2015-06-08,20537.849609,20544.939453,20359.060547,20457.189453,135600,20457.189453
2015-06-09,20293.050781,20332.419922,20095.480469,20096.300781,155900,20096.300781
2015-06-10,20126.359375,20264.919922,20016.320312,20046.359375,183200,20046.359375
2015-06-11,20183.609375,20382.970703,20178.039062,20382.970703,150400,20382.970703
2015-06-12,20431.779297,20437.259766,20331.189453,20407.080078,184200,20407.080078
2015-06-15,20205.099609,20401.480469,20205.099609,20387.789062,112200,20387.789062
2015-06-16,20332.830078,20368.210938,20234.160156,20257.939453,129000,20257.939453
2015-06-17,20306.099609,20323.080078,20126.570312,20219.269531,0,20219.269531
2015-06-18,20193.589844,20200.509766,19990.550781,19990.820312,130500,19990.820312
2015-06-19,20152.410156,20194.449219,20075.910156,20174.240234,156100,20174.240234
2015-06-22,20174.140625,20433.300781,20174.140625,20428.189453,0,20428.189453
2015-06-23,20547.740234,20809.419922,20531.130859,20809.419922,177800,20809.419922
2015-06-24,20889.320312,20952.710938,20838.220703,20868.029297,161700,20868.029297
2015-06-25,20777.689453,20866.580078,20758.599609,20771.400391,124500,20771.400391
2015-06-26,20758.429688,20785.759766,20650.0,20706.150391,135900,20706.150391
2015-06-29,20305.970703,20361.599609,20093.160156,20109.949219,0,20109.949219
2015-06-30,20174.609375,20243.179688,20118.259766,20235.730469,163100,20235.730469
2015-07-01,20291.050781,20346.740234,20225.269531,20329.320312,119900,20329.320312
2015-07-02,20565.939453,20601.730469,20479.849609,20522.5,0,20522.5
2015-07-03,20476.689453,20557.509766,20431.25,20539.789062,141400,20539.789062
2015-07-06,20200.150391,20310.720703,20012.230469,20112.119141,158800,20112.119141
2015-07-07,20354.230469,20428.0,20337.179688,20376.589844,0,20376.589844
2015-07-08,20282.490234,20310.890625,19737.640625,19737.640625,0,19737.640625
2015-07-09,19422.779297,19855.5,19115.199219,19855.5,0,19855.5
2015-07-10,19829.929688,19978.240234,19720.150391,19779.830078,0,19779.830078
2015-07-13,19929.919922,20120.150391,19911.390625,20089.769531,0,20089.769531
2015-07-14,20355.330078,20435.529297,20322.199219,20385.330078,156900,20385.330078
2015-07-15,20478.849609,20496.599609,20401.089844,20463.330078,0,20463.330078
2015-07-16,20588.980469,20612.5,20522.25,20600.119141,132700,20600.119141
2015-07-17,20646.630859,20658.949219,20611.220703,20650.919922,114600,20650.919922
2015-07-21,20763.310547,20850.0,20710.339844,20841.970703,130500,20841.970703
2015-07-22,20657.800781,20677.839844,20576.189453,20593.669922,141000,20593.669922
2015-07-23,20693.570312,20708.230469,20648.759766,20683.949219,115500,20683.949219
2015-07-24,20603.630859,20631.539062,20527.779297,20544.529297,107400,20544.529297
2015-07-27,20374.050781,20486.929688,20278.730469,20350.099609,118900,20350.099609
2015-07-28,20188.570312,20423.580078,20070.619141,20328.890625,145300,20328.890625
2015-07-29,20425.689453,20425.689453,20205.210938,20302.910156,0,20302.910156
2015-07-30,20450.609375,20583.570312,20443.890625,20522.830078,176000,20522.830078
2015-07-31,20506.550781,20585.240234,20466.800781,20585.240234,170100,20585.240234
