Date,Open,High,Low,Close,Volume,Adj Close
2015-02-02,3128.3,3128.3,3128.3,3128.3,0,3128.3
2015-02-03,3204.91,3204.91,3204.91,3204.91,0,3204.91
2015-02-04,3174.13,3174.13,3174.13,3174.13,0,3174.13
2015-02-05,3136.53,3136.53,3136.53,3136.53,0,3136.53
2015-02-06,3075.91,3075.91,3075.91,3075.91,0,3075.91
2015-02-09,3095.12,3095.12,3095.12,3095.12,0,3095.12
2015-02-10,3141.59,3141.59,3141.59,3141.59,0,3141.59
2015-02-11,3157.7,3157.7,3157.7,3157.7,0,3157.7
2015-02-12,3173.42,3173.42,3173.42,3173.42,0,3173.42
2015-02-13,3203.83,3203.83,3203.83,3203.83,0,3203.83
2015-02-16,3222.36,3222.36,3222.36,3222.36,0,3222.36
2015-02-17,3246.91,3246.91,3246.91,3246.91,0,3246.91
2015-02-25,3228.84,3228.84,3228.84,3228.84,0,3228.84
2015-02-26,3298.36,3298.36,3298.36,3298.36,0,3298.36
2015-02-27,3310.3,3310.3,3310.3,3310.3,0,3310.3
2015-03-02,3336.28,3336.28,3336.28,3336.28,0,3336.28
2015-03-03,3263.05,3263.05,3263.05,3263.05,0,3263.05
2015-03-04,3279.53,3279.53,3279.53,3279.53,0,3279.53
2015-03-05,3248.48,3248.48,3248.48,3248.48,0,3248.48
2015-03-06,3241.19,3241.19,3241.19,3241.19,0,3241.19
2015-03-09,3302.41,3302.41,3302.41,3302.41,0,3302.41
2015-03-10,3286.07,3286.07,3286.07,3286.07,0,3286.07
2015-03-11,3290.9,3290.9,3290.9,3290.9,0,3290.9
2015-03-12,3349.32,3349.32,3349.32,3349.32,0,3349.32
2015-03-13,3372.91,3372.91,3372.91,3372.91,0,3372.91
2015-03-16,3449.3,3449.3,3449.3,3449.3,0,3449.3
2015-03-17,3502.85,3502.85,3502.85,3502.85,0,3502.85
2015-03-18,3577.3,3577.3,3577.3,3577.3,0,3577.3
2015-03-19,3582.27,3582.27,3582.27,3582.27,0,3582.27
2015-03-20,3617.32,3617.32,3617.32,3617.32,0,3617.32
2015-03-23,3687.73,3687.73,3687.73,3687.73,0,3687.73
2015-03-24,3691.41,3691.41,3691.41,3691.41,0,3691.41
2015-03-25,3660.73,3660.73,3660.73,3660.73,0,3660.73
2015-03-26,3682.09,3682.09,3682.09,3682.09,0,3682.09
2015-03-27,3691.1,3691.1,3691.1,3691.1,0,3691.1
2015-03-30,3786.57,3786.57,3786.57,3786.57,0,3786.57
2015-03-31,3747.9,3747.9,3747.9,3747.9,0,3747.9
2015-04-01,3810.29,3810.29,3810.29,3810.29,0,3810.29
2015-04-02,3825.78,3825.78,3825.78,3825.78,0,3825.78
