Date,Open,High,Low,Close,Volume,Adj Close
2013-05-02,19459.330078,19792.0,19451.259766,19735.769531,9400,19735.769531
2013-05-03,19707.949219,19744.849609,19542.630859,19575.640625,11600,19575.640625
2013-05-06,19571.660156,19694.289062,19554.310547,19673.640625,7800,19673.640625
2013-05-07,19697.330078,19917.880859,19697.330078,19888.949219,8200,19888.949219
2013-05-08,19950.220703,20037.269531,19851.220703,19990.179688,6200,19990.179688
2013-05-09,20015.859375,20058.480469,19903.830078,19939.039062,5800,19939.039062
2013-05-10,19911.080078,20119.140625,19908.800781,20082.619141,8000,20082.619141
2013-05-13,20073.410156,20109.080078,19667.390625,19691.669922,6600,19691.669922
2013-05-14,19715.800781,19831.789062,19652.689453,19722.289062,7200,19722.289062
2013-05-15,19798.179688,20241.960938,19798.179688,20212.960938,9200,20212.960938
2013-05-16,20167.929688,20326.480469,20162.119141,20247.330078,9600,20247.330078
2013-05-17,20267.599609,20328.189453,20155.009766,20286.119141,8000,20286.119141
2013-05-20,20277.759766,20443.619141,20186.660156,20223.980469,6800,20223.980469
2013-05-21,20227.169922,20308.039062,20072.679688,20111.609375,15600,20111.609375
2013-05-22,20150.689453,20220.349609,20000.859375,20062.240234,7600,20062.240234
2013-05-23,19971.369141,20027.560547,19634.789062,19674.330078,15600,19674.330078
2013-05-24,19765.320312,19833.140625,19568.490234,19704.330078,11000,19704.330078
2013-05-27,19750.669922,20083.470703,19678.310547,20030.769531,8200,20030.769531
2013-05-28,20056.279297,20209.820312,19963.230469,20160.820312,8600,20160.820312
2013-05-29,20202.509766,20216.490234,20044.740234,20147.640625,8000,20147.640625
2013-05-30,20066.939453,20254.029297,20066.140625,20215.400391,9600,20215.400391
2013-05-31,20186.669922,20191.289062,19730.550781,19760.300781,9400,19760.300781
2013-06-03,19859.220703,19860.189453,19541.970703,19610.480469,7400,19610.480469
2013-06-04,19605.679688,19742.699219,19522.470703,19545.779297,6000,19545.779297
2013-06-05,19532.419922,19604.429688,19441.349609,19568.220703,5600,19568.220703
2013-06-06,19503.679688,19635.369141,19395.320312,19519.490234,6600,19519.490234
2013-06-07,19522.310547,19711.550781,19397.509766,19429.230469,7000,19429.230469
2013-06-10,19530.349609,19585.75,19366.820312,19441.070312,6400,19441.070312
2013-06-11,19382.220703,19418.740234,19121.179688,19143.0,14200,19143.0
2013-06-12,19103.960938,19143.240234,18969.080078,19041.130859,10800,19041.130859
2013-06-13,18897.490234,18914.130859,18765.529297,18827.160156,13200,18827.160156
2013-06-14,18959.830078,19213.099609,18952.089844,19177.929688,10400,19177.929688
2013-06-17,19249.900391,19344.279297,19084.679688,19325.869141,7000,19325.869141
2013-06-18,19329.169922,19383.609375,19191.369141,19223.279297,8600,19223.279297
2013-06-19,19224.089844,19274.259766,19100.130859,19245.699219,10400,19245.699219
2013-06-20,19069.199219,19069.199219,18687.189453,18719.289062,14200,18719.289062
2013-06-21,18695.800781,18820.810547,18615.140625,18774.240234,14600,18774.240234
2013-06-24,18714.060547,18714.060547,18467.160156,18540.890625,11200,18540.890625
2013-06-25,18602.25,18802.310547,18487.300781,18629.150391,10800,18629.150391
2013-06-26,18662.369141,18690.5,18514.349609,18552.119141,9200,18552.119141
2013-06-27,18716.109375,18925.75,18688.279297,18875.949219,10000,18875.949219
2013-06-28,19093.179688,19432.939453,19093.179688,19395.810547,14000,19395.810547
2013-07-01,19352.480469,19598.429688,19347.570312,19577.390625,8600,19577.390625
2013-07-02,19573.929688,19589.140625,19442.75,19463.820312,9200,19463.820312
2013-07-03,19347.109375,19347.109375,19147.310547,19177.759766,9600,19177.759766
2013-07-04,19256.119141,19445.019531,19245.009766,19410.839844,9600,19410.839844
2013-07-05,19568.789062,19640.269531,19477.740234,19495.820312,10000,19495.820312
2013-07-08,19418.980469,19422.689453,19185.919922,19324.769531,8400,19324.769531
2013-07-09,19399.369141,19486.0,19380.25,19439.480469,6600,19439.480469
2013-07-10,19482.660156,19505.929688,19237.910156,19294.119141,7800,19294.119141
2013-07-11,19468.460938,19723.509766,19468.460938,19676.060547,8400,19676.060547
2013-07-12,19898.689453,19991.939453,19785.589844,19958.470703,7600,19958.470703
2013-07-15,19926.099609,20072.439453,19883.189453,20034.480469,7000,20034.480469
2013-07-16,19788.089844,19890.630859,19649.580078,19851.230469,8000,19851.230469
2013-07-17,19928.949219,19983.220703,19778.539062,19948.730469,10400,19948.730469
2013-07-18,19999.509766,20176.900391,19956.199219,20128.410156,9800,20128.410156
2013-07-19,20213.449219,20256.599609,20111.130859,20149.849609,11600,20149.849609
2013-07-22,20096.710938,20264.900391,20065.689453,20159.119141,9400,20159.119141
2013-07-23,20249.980469,20351.060547,20249.980469,20302.130859,7800,20302.130859
2013-07-24,20200.199219,20252.699219,19994.25,20090.679688,8000,20090.679688
2013-07-25,20062.0,20110.810547,19763.900391,19804.759766,12800,19804.759766
2013-07-26,19892.470703,19907.449219,19699.759766,19748.189453,11000,19748.189453
2013-07-29,19714.419922,19751.029297,19570.869141,19593.279297,9900,19593.279297
2013-07-30,19577.75,19672.720703,19328.539062,19348.339844,9500,19348.339844
2013-07-31,19304.070312,19387.5,19126.820312,19345.699219,13900,19345.699219
2013-08-01,19443.289062,19569.199219,19170.460938,19317.189453,10600,19317.189453
2013-08-02,19399.550781,19451.699219,19078.720703,19164.019531,8600,19164.019531
2013-08-05,19178.060547,19306.509766,19141.679688,19182.259766,12000,19182.259766
2013-08-06,19127.099609,19131.919922,18667.300781,18733.039062,13800,18733.039062
2013-08-07,18758.529297,18811.460938,18551.349609,18664.880859,12800,18664.880859
2013-08-08,18687.300781,18829.259766,18621.669922,18789.339844,11900,18789.339844
2013-08-12,18898.939453,19066.970703,18796.009766,18946.980469,11700,18946.980469
2013-08-13,18895.259766,19248.109375,18864.810547,19229.839844,11900,19229.839844
2013-08-14,19299.419922,19392.560547,19203.630859,19367.589844,14700,19367.589844
2013-08-16,19297.109375,19310.949219,18559.650391,18598.179688,14300,18598.179688
2013-08-19,18587.380859,18587.380859,18139.150391,18307.519531,14300,18307.519531
2013-08-20,18142.830078,18306.460938,17970.980469,18246.039062,18200,18246.039062
2013-08-21,18545.439453,18567.699219,17807.189453,17905.910156,17400,17905.910156
2013-08-22,17896.839844,18349.820312,17759.589844,18312.939453,19800,18312.939453
2013-08-23,18386.529297,18546.599609,18210.75,18519.439453,19200,18519.439453
