Date,Open_DJI,High_DJI,Low_DJI,Close_DJI,Volume_DJI,AdjClose_DJI,Return_DJI
2000-01-03,11501.849609,11522.009766,11305.69043,11357.509766,169750000,11357.509766,
2000-01-04,11349.75,11350.05957,10986.450195,10997.929688,178420000,10997.929688,-0.03166011611774644
2000-01-05,10989.370117,11215.099609,10938.669922,11122.650391,203190000,11122.650391,0.011340380102273562
2000-01-06,11113.370117,11313.450195,11098.450195,11253.259766,176550000,11253.259766,0.011742648596209104
2000-01-07,11247.05957,11528.139648,11239.919922,11522.55957,184900000,11522.55957,0.023930826231670865
2000-01-10,11532.480469,11638.280273,11532.480469,11572.200195,168180000,11572.200195,0.004308124830983084
2000-01-11,11568.469727,11663.099609,11502.700195,11511.080078,177300000,11511.080078,-0.005281633221866255
2000-01-12,11506.730469,11612.530273,11505.179688,11551.099609,194060000,11551.099609,0.0034766095560820887
2000-01-13,11558.240234,11656.580078,11524.110352,11582.429688,174910000,11582.429688,0.002712302729654281
2000-01-14,11619.349609,11750.280273,11612.530273,11722.980469,266830000,11722.980469,0.01213482704286295
2000-01-18,11719.19043,11720.120117,11546.450195,11560.719727,200220000,11560.719727,-0.01384125329126662
2000-01-19,11535.240234,11574.679688,11456.009766,11489.360352,193090000,11489.360352,-0.0061725720097980386
2000-01-20,11490.290039,11558.700195,11274.980469,11351.299805,191230000,11351.299805,-0.012016382354650967
2000-01-21,11356.259766,11387.599609,11232.480469,11251.709961,205840000,11251.709961,-0.008773430859092657
2000-01-24,11251.94043,11366.5,10917.269531,11008.169922,202740000,11008.169922,-0.02164471354524289
2000-01-25,11010.959961,11079.519531,10883.450195,11029.889648,209230000,11029.889648,0.001973055117598932
2000-01-26,11025.849609,11131.030273,11002.580078,11032.990234,188840000,11032.990234,0.0002811076174784599
2000-01-27,11035.549805,11164.139648,10915.400391,11028.019531,194280000,11028.019531,-0.00045053089820412673
2000-01-28,11024.919922,11024.919922,10735.769531,10738.870117,183090000,10738.870117,-0.026219523205158857
2000-01-31,10735.769531,10956.669922,10701.639648,10940.530273,191880000,10940.530273,0.018778526400162532
2000-02-01,10937.740234,11073.320312,10907.959961,11041.049805,183110000,11041.049805,0.009187811695752224
2000-02-02,11037.639648,11118.929688,10987.070312,11003.200195,164170000,11003.200195,-0.0034280807231628074
2000-02-03,11010.480469,11079.519531,10842.259766,11013.44043,178630000,11013.44043,0.0009306597006799588
2000-02-04,11014.370117,11089.450195,10943.019531,10963.799805,166590000,10963.799805,-0.00450727684191965
2000-02-07,10965.969727,10970.94043,10846.219727,10905.790039,145660000,10905.790039,-0.005291027475122778
2000-02-08,10904.259766,11023.05957,10904.259766,10957.599609,168890000,10957.599609,0.004750648033267302
2000-02-09,10948.820312,10948.820312,10698.849609,10699.160156,168550000,10699.160156,-0.023585407591251273
2000-02-10,10697.919922,10738.25,10606.400391,10643.629883,156390000,10643.629883,-0.005190152515742952
2000-02-11,10638.639648,10638.639648,10356.959961,10425.209961,193540000,10425.209961,-0.02052118726421137
2000-02-14,10431.650391,10549.0,10430.799805,10519.839844,167240000,10519.839844,0.009077024189824812
2000-02-15,10520.150391,10763.070312,10494.480469,10718.089844,183320000,10718.089844,0.0188453439348768
2000-02-16,10711.820312,10741.669922,10561.410156,10561.410156,163280000,10561.410156,-0.014618247307164545
2000-02-17,10565.759766,10671.860352,10454.610352,10514.570312,195830000,10514.570312,-0.004434999049193311
2000-02-18,10514.570312,10517.75,10199.980469,10219.519531,208930000,10219.519531,-0.028061135381183044
2000-02-22,10219.830078,10336.790039,10103.799805,10304.839844,194340000,10304.839844,0.008348759718222354
2000-02-23,10294.820312,10338.349609,10164.919922,10225.730469,185280000,10225.730469,-0.007676914556421943
2000-02-24,10242.480469,10248.05957,9942.780273,10092.629883,237540000,10092.629883,-0.013016242350950336
2000-02-25,10090.769531,10132.419922,9836.05957,9862.120117,195240000,9862.120117,-0.022839415362716275
2000-02-28,9854.660156,10156.540039,9842.570312,10038.650391,213230000,10038.650391,0.017899830047263476
2000-02-29,10039.580078,10204.94043,10029.959961,10128.30957,191360000,10128.30957,0.008931397698676902
2000-03-01,10128.110352,10186.330078,10084.55957,10137.929688,216780000,10137.929688,0.0009498246408754518
2000-03-02,10135.44043,10212.389648,10103.490234,10164.919922,206510000,10164.919922,0.002662302346794432
2000-03-03,10171.120117,10443.519531,10171.120117,10367.200195,210460000,10367.200195,0.019899839305394185
2000-03-06,10358.959961,10383.950195,10121.480469,10170.5,172590000,10170.5,-0.018973318861428612
2000-03-07,10197.610352,10229.139648,9752.679688,9796.030273,278180000,9796.030273,-0.036819205250479325
2000-03-08,9800.69043,9918.889648,9731.80957,9856.530273,223310000,9856.530273,0.006175971114212642
2000-03-09,9855.290039,10010.730469,9738.950195,10010.730469,187360000,10010.730469,0.015644470389585274
2000-03-10,10008.549805,10091.389648,9907.259766,9928.820312,197440000,9928.820312,-0.00818223577726418
2000-03-13,9911.219727,9998.549805,9735.540039,9947.129883,186210000,9947.129883,0.0018440832268735718
2000-03-14,9957.669922,10043.299805,9811.240234,9811.240234,186080000,9811.240234,-0.013661191780780846
2000-03-15,9808.150391,10180.200195,9776.490234,10131.410156,204920000,10131.410156,0.03263297140462207
2000-03-16,10139.580078,10632.459961,10138.339844,10630.599609,253790000,10630.599609,0.04927146816816719
2000-03-17,10629.980469,10763.379883,10567.30957,10595.230469,247830000,10595.230469,-0.00332710677674819
2000-03-20,10594.75,10727.709961,10586.990234,10680.240234,177730000,10680.240234,0.008023399325642444
2000-03-21,10680.240234,10907.339844,10603.610352,10907.339844,211950000,10907.339844,0.02126353012894211
2000-03-22,10916.959961,10917.269531,10789.129883,10866.700195,195830000,10866.700195,-0.0037258992184383555
2000-03-23,10884.379883,11136.610352,10831.019531,11119.860352,224710000,11119.860352,0.023296875082325696
2000-03-24,11107.450195,11234.650391,11045.089844,11112.719727,217140000,11112.719727,-0.0006421506002740607
2000-03-27,11093.25,11170.820312,10982.730469,11025.849609,184880000,11025.849609,-0.007817178884565457
2000-03-28,11023.679688,11094.339844,10932.780273,10936.110352,177780000,10936.110352,-0.00813898794037149
2000-03-29,10939.049805,11101.549805,10910.75,11018.719727,199370000,11018.719727,0.007553816881967768
2000-03-30,11008.169922,11144.05957,10916.339844,10980.25,214190000,10980.25,-0.003491306426983032
2000-03-31,10993.280273,11107.759766,10921.919922,10921.919922,179590000,10921.919922,-0.005312272307096966
2000-04-03,10863.280273,11223.790039,10862.969727,11221.929688,279950000,11221.929688,0.027468592348465437
